carrot,124
celery,57
chicken bouillon,4
fennel bulb,234
kohlrabi bulb,234
bay leaf,5
bell pepper,400
onion,123
black peppercorns,1
chicken meat,174
clove garlic,6
potatoes,226
fresh thyme,10
dash black pepper,1
fresh ginger,28
fresh parsley,10
eggs,60
banana,118
