,g
all-purpose flour,192.29352463166165
baking soda,2.9759589126054387
chocolate chips,267.5096724172719
eggs,67.29984959542152
salt,6.435595437200773
vanilla extract,4.525615442474366
walnuts,47.49354937972864
white sugar,96.05105680897839
baking powder,0.8851567757215644
brown sugar,111.52797031345823
butter,66.43415861762581
