,g
all-purpose flour,133.23462539233807
baking powder,0.11684760795128693
baking soda,2.919045232858582
brown sugar,135.8717714178619
butter,144.44391133144723
egg,58.346199543721255
oats,246.14010186234776
salt,1.077359716683297
white sugar,105.72593548215843
shortening,117.55996358147476
vanilla extract,3.0404864753169916
chocolate chips,224.9096282669864
cinnamon,1.421967976047202
raisins,90.23305339206556
