,g,cups,tablespoons,teaspoons
all-purpose flour,379.86,2.67,42.68,128.05
baking soda,6.27,0.02,0.39,1.18
brown sugar,69.21,0.34,5.44,16.31
butter,133.43,0.6,9.6,28.8
eggs,55.12,0.23,3.62,10.85
ginger,7.28,0.03,0.49,1.48
water,27.31,0.12,1.85,5.54
white sugar,99.77,0.46,7.37,22.12
cinnamon,3.8,0.02,0.3,0.89
molasses,118.47,0.35,5.64,16.93
nutmeg,0.38,0.0,0.06,0.17
salt,2.77,0.01,0.09,0.26
cloves,1.8,0.01,0.14,0.42
