quantities,units,ingredients
1.75,cups,all-purpose flour
0.5,teaspoon,baking powder
0.25,teaspoon,salt
1.0,cup,unsalted butter
0.5,cup,white sugar
0.75,cup,semisweet chocolate chips
0.5,cup,chopped walnuts
