,g,cups,tablespoons,teaspoons
all-purpose flour,187.24,1.31,21.04,63.12
baking powder,3.63,0.02,0.28,0.84
brown sugar,197.32,0.97,15.5,46.5
butter,135.93,0.61,9.78,29.34
eggs,96.34,0.39,6.32,18.96
salt,4.68,0.01,0.15,0.44
vanilla extract,5.74,0.03,0.44,1.32
white sugar,38.76,0.18,2.86,8.59
chocolate chips,114.96,0.48,7.7,23.09
walnuts,55.53,0.26,4.13,12.38
