,g,cups,tablespoons,teaspoons
all-purpose flour,149.6,1.05,16.81,50.43
baking powder,0.83,0.0,0.06,0.19
brown sugar,102.48,0.5,8.05,24.15
butter,96.33,0.43,6.93,20.79
eggs,86.63,0.36,5.68,17.05
peanut_but,274.75,1.07,17.05,51.14
salt,2.9,0.01,0.09,0.27
vanilla extract,3.33,0.02,0.26,0.77
white sugar,169.57,0.78,12.53,37.6
baking soda,3.52,0.01,0.22,0.66
