quantities,units,ingredients
6.0,cups,peeled and sliced apples
0.5,cup,white sugar
1.0,tablespoon,all-purpose flour
1.0,teaspoon,ground cinnamon
0.25,teaspoon,salt
0.75,cup,old-fashioned rolled oats
0.75,cup,all-purpose flour
0.75,cup,brown sugar
0.5,teaspoon,baking soda
0.25,teaspoon,baking powder
0.5,cup,"butter, melted"
