,g,cups,tablespoons,teaspoons
all-purpose flour,126.15,0.89,14.17,42.52
butter,100.4,0.45,7.22,21.67
chocolate chips,63.0,0.26,4.22,12.66
eggs,155.2,0.64,10.18,30.54
salt,3.79,0.01,0.12,0.36
vanilla extract,5.27,0.03,0.4,1.21
walnuts,53.98,0.25,4.01,12.03
white sugar,278.06,1.28,20.55,61.66
cocoa powder,29.89,0.35,5.62,16.85
baking powder,1.08,0.01,0.08,0.25
