quantities,units,ingredients
1.0,units,(9 inch) prepared graham cracker crust
16.0,ounces,cream cheese
2.0,units,eggs 
0.75,cup,white sugar
2.0,teaspoons,vanilla extract
0.5,teaspoon,grated lemon zest
