quantities,units,ingredients
0.333333343,cup,"butter, melted"
16,ounce,ounce) packages cream cheese
2,teaspoons,lemon juice
19.2,ounces,heavy whipping cream
0.333333343,cup,white sugar
21,ounce,ounce) can cherry pie filling
