,g,cups,tablespoons,teaspoons
all-purpose flour,324.07,2.28,36.41,109.24
baking soda,3.96,0.02,0.25,0.74
butter,158.41,0.71,11.4,34.19
cinnamon,7.27,0.04,0.56,1.69
cream of tartar,7.69,0.03,0.44,1.32
eggs,90.11,0.37,5.91,17.73
salt,3.68,0.01,0.12,0.35
vanilla extract,2.5,0.01,0.19,0.58
white sugar,253.93,1.17,18.77,56.31
nutmeg,0.11,0.0,0.02,0.05
