quantities,units,ingredients
3.25,cups,all-purpose flour
1.0,teaspoon,baking soda
1.0,teaspoon,ground ginger
0.5,teaspoon,ground allspice
0.5,teaspoon,ground cloves
0.5,teaspoon,ground cinnamon
0.75,cup,molasses
0.33333298563957,cup,packed brown sugar
0.33333298563957,cup,water
0.125,cup,"butter, softened"
