quantities,units,ingredients
2,cups,butter
2,cups,brown sugar
1,cup,molasses
1,cup,dark corn syrup
2,tablespoons,lemon zest
4,teaspoons,ground cinnamon
2,teaspoons,ground nutmeg
2,teaspoons,ground ginger
1,teaspoon,salt
1,teaspoon,ground mace
12,cups,all-purpose flour
